September 8	30.0	34.0	2.5	36.5	33.5	14.5	9.5	9.5	7.0
September 1	30.5	32.5	3.5	36.0	33.5	13.0	9.5	11.0	8.0
August 25	29.5	35.0	4.5	39.5	31.0	13.0	9.0	9.0	5.5
August 18	30.5	34.5	4.0	38.5	31.0	13.5	8.5	9.0	8.5
August 11	29.5	33.5	4.0	37.5	33.0	14.5	9.5	9.0	8.0
August 4	30.5	34.0	3.0	37.0	32.5	14.5	9.5	17.5	8.0
July 28	30.5	33.0	4.5	37.5	32.0	13.0	8.5	10.5	8.0
July 21	31.0	36.0	3.5	39.5	29.5	12.5	7.5	9.5	8.0
July 14	31.0	34.0	3.5	37.5	31.0	12.5	9.0	9.5	5.5
July 7	28.5	36.0	3.5	39.5	32.0	13.5	9.0	9.5	7.5
June 30	31.5	33.0	3.5	36.5	32.0	13.0	9.0	9.5	9.0
June 23	31.5	34.0	3.0	37.0	31.5	13.5	8.5	10.0	8.0
June 16	29.5	32.5	5.0	37.5	32.5	13.5	8.5	10.5	7.5
June 9	30.0	31.0	4.0	35.0	34.5	15.5	9.5	10.0	8.0
June 2	31.0	31.5	4.5	36.0	33.0	14.0	9.0	10.0	7.5
May 26	28.5	34.0	3.5	37.0	34.5	15.0	9.5	10.5	6.5
May 19	30.5	33.0	4.0	37.0	32.5	14.5	8.5	9.0	9.0
May 12	32.0	33.5	3.5	36.5	31.1	13.5	7.5	9.5	7.5
May 5	30.0	32.0	5.0	37.0	33.0	13.0	8.5	11.5	7.5
April 28	31.5	33.5	3.0	37.0	32.0	14.0	8.0	10.0	9.5
April 21	30.5	31.5	3.5	35.5	34.5	16.5	7.5	10.5	8.0
April 14	30.5	34.0	4.5	38.5	31.5	13.5	7.5	10.5	6.5
April 7	29.5	35.0	3.0	38.0	32.5	13.5	9.0	10.5	7.5
March 31	30.0	34.5	2.5	37.5	32.5	15.5	9.0	8.0	8.5
March 24	31.5	34.0	4.0	38.0	30.5	14.0	7.5	9.5	6.5
March 17	31.5	33.5	3.5	37.0	31.5	13.0	9.0	10.0	7.5
March 10	32.0	33.5	4.5	38.0	30.0	13.0	9.0	8.0	7.5
March 3	34.0	32.5	4.0	36.0	29.5	13.5	8.5	7.0	8.5
February 25	31.5	34.0	4.0	37.5	30.5	12.0	8.5	10.0	6.5
February 18	34.0	32.5	4.5	37.0	29.0	13.0	8.0	8.0	8.0
February 11	34.5	33.0	3.5	36.5	29.0	12.0	6.0	11.0	8.0
February 4 	33.0	33.5	3.5	37.0	30.0	12.0	9.5	9.0	8.5
January 28
31.0	34.5	3.0	37.5	31.5	13.0	7.0	11.5	8.0
January 21
32.5	31.5	4.5	36.0	31.5	12.5	8.5	10.5	9.0
January 14	31.5	33.5	3.5	37.0	31.5	12.0	9.5	10.0	6.0
January 7	29.0	35.0	4.0	39.0	32.5	13.0	8.5	10.5	7.0
2023
December 17	32.0	34.0	4.0	38.0	30.0	11.5	8.5	9.5	7.0
December 10	30.5	32.5	4.5	37.0	32.5	14.0	7.5	11.0	8.5
December 3	32.5	34.0	3.5	37.5	30.0	12.5	8.5	9.0	8.5
November 26	32.0	31.5	3.5	35.0	33.0	13.5	9.0	10.5	7.5
November 19	29.5	34.0	3.5	37.5	33.0	13.5	7.5	12.0	9.5
November 12	30.0	34.0	3.0	37.0	33.0	13.0	8.0	12.0	8.5
November 5	31.5	30.0	5.0	35.0	33.5	13.5	10.0	10.0	6.0
October 29	32.0	32.0	3.5	35.5	32.5	15.0	8.5	9.0	6.5
October 22	31.5	32.5	3.5	36.0	32.0	14.0	8.5	5.0	6.5
October 15	35.0	30.0	4.5	34.5	31.0	14.0	7.0	5.0	8.5
October 8	33.0	30.5	3.5	34.0	33.0	13.5	6.5	6.5	7.0
October 1	32.5	34.0	3.5	37.5	30.5	13.0	8.0	3.5	7.5
September 24	32.5	31.0	4.0	35.0	32.5	13.5	9.5	3.0	7.0
September 17	32.0	30.0	4.5	34.5	33.5	15.5	8.5	4.0	6.5
September 10	32.5	33.0	4.0	37.0	31.0	13.5	8.0	3.5	9.0
September 3	33.5	34.0	3.5	37.5	29.0	13.0	7.0	4.5	7.5
August 27	35.0	30.5	4.5	35.0	30.0	13.5	6.5	5.0	8.5
August 20 	33.5	32.5	4.0	36.5	30.0	12.5	8.5	3.0	8.0
August 13 	35.5	31.5	3.0	34.5	30.0	12.0	9.0	4.0	8.0
August 6 	33.5	32.0	3.0	35.0	31.5	13.0	9.0	4.0	7.0
July 30 	34.5	31.0	3.5	34.5	31.0	12.5	9.5	3.5	8.0
July 23 	33.5	33.0	4.5	37.5	29.0	12.5	9.0	2.5	8.5
July 16 	35.5	30.5	4.0	35.0	29.5	12.5	6.5	5.0	9.0
July 9 	34.5	30.5	4.5	35.0	30.5	12.5	8.5	4.0	7.5
July 2 	36.5	30.0	4.0	33.5	29.5	13.0	7.0	3.5	8.5
June 25 	37.5	28.0	3.5	32.0	31.0	13.0	9.0	3.5	6.5
June 18 	37.0	29.0	5.0	34.0	29.0	13.0	7.5	3.5	8.0
June 11 	35.0	28.0	5.0	33.0	32.0	13.0	8.0	5.0	7.0
June 4 	35.0	31.0	3.5	34.5	30.5	13.0	9.0	3.0	8.5
